Header_line;24
location;Drammen - Norway
year_of_construction;1986
floor_area;3327
number_of_users;49
number_of_units;5
building_category;Nsh
energy_label;C
notes;Renovated/expanded in 2009
central_heating_system;0
dhw_heat_source;HWH
sh_heat_source;EH
ventilation_heat_source;EHB
ventilation_types;DCV
night_setback;1
lighting_control;0
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6410

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import;Electricity use;Heat use
;C;W/m2;m/s;deg;Wh;Wh;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported ;Electricity for DHW production and heat tracing;Domestic Hot Water
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp;ElDHW;HtDHW
2018-01-10T14:00:00+0100;-6.33;24.46;2.57;352.57;187000.0;;
2018-01-10T15:00:00+0100;-5.91;1.48;2.55;352.3;178000.0;;
2018-01-10T16:00:00+0100;-5.08;-0.01;3.08;3.29;181000.0;;
2018-01-10T17:00:00+0100;-4.37;0.0;2.88;356.76;160000.0;;
2018-01-10T18:00:00+0100;-4.51;0.0;2.85;351.67;160000.0;;
2018-01-10T19:00:00+0100;-4.28;0.0;3.05;352.69;159000.0;;
2018-01-10T20:00:00+0100;-4.04;0.0;3.25;351.5;150000.0;;
2018-01-10T21:00:00+0100;-3.96;0.0;3.13;350.57;140000.0;;
2018-01-10T22:00:00+0100;-3.46;0.0;2.99;351.41;80000.0;;
2018-01-10T23:00:00+0100;-3.32;0.0;2.79;345.88;82000.0;;
2018-01-11T00:00:00+0100;-2.94;0.0;2.69;349.46;71000.0;;
2018-01-11T01:00:00+0100;-2.98;0.0;3.0;349.49;70000.0;;
2018-01-11T02:00:00+0100;-2.89;0.0;3.01;344.86;69000.0;;
2018-01-11T03:00:00+0100;-2.85;0.0;3.13;348.0;68000.0;;
2018-01-11T04:00:00+0100;-2.99;0.0;3.3;357.56;67000.0;;
2018-01-11T05:00:00+0100;-2.98;0.0;3.0;355.38;123000.0;;
2018-01-11T06:00:00+0100;-2.98;0.0;3.1;357.88;111000.0;;
2018-01-11T07:00:00+0100;-3.01;-0.0;2.9;358.85;155000.0;;
2018-01-11T08:00:00+0100;-2.86;0.0;2.82;354.75;173000.0;;
2018-01-11T09:00:00+0100;-2.83;1.51;2.87;359.57;170000.0;;
2018-01-11T10:00:00+0100;-2.55;7.27;2.7;359.5;165000.0;;
2018-01-11T11:00:00+0100;-2.29;12.66;2.57;352.06;170000.0;;
2018-01-11T12:00:00+0100;-1.98;16.66;2.61;359.01;162000.0;;
