Header_line;17
location;Oslo Norway
year_of_construction;2009
floor_area;15127
number_of_users;1100
building_category;Sch
dhw_heat_source;DH
sh_heat_source;DH
pv;Roof:x:x
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;8102

;Heat import;Electricity import;Heat use;Electricity use;Electricity production;Weather variable;Weather variable;Weather variable;Weather variable;Weather variable
;Wh;Wh;Wh;Wh;Wh;C;W/m2;m/s;deg;%
;Imported District Heating;Electricity imported ;Heat Total = HtSpace + HtDHW;Electricity exported;Electricity production from PV;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Relative Humidity
TimeStamp;HtDH;ElImp;HtTot;ElExp;ElPV;Tout;SolGlob;WindSpd;WindDir;RH
2020-01-05T15:00:00+0100;140000.0;111600.0;140000.0;;;1.7156311035156475;1.2533333333333334;4.6054683;203.48523;0.95136195
2020-01-05T16:00:00+0100;140000.0;112200.0;140000.0;;;2.1089111328125227;-0.0088888888888888;3.4705098;210.44246;0.97730184
2020-01-05T17:00:00+0100;140000.0;112200.0;140000.0;;;2.145684814453148;0.0;2.453825;213.78398;0.96906203
2020-01-05T18:00:00+0100;90000.0;100200.0;90000.0;;;2.3035522460937727;0.0;3.2750206;215.90948;0.96514034
2020-01-05T19:00:00+0100;100000.0;77400.0;100000.0;;;2.4863220214843977;0.0;0.90174925;175.38367;0.9852971
2020-01-05T20:00:00+0100;100000.0;70200.0;100000.0;;;2.400079345703148;0.0;1.4938704;105.10706;0.9839544
2020-01-05T21:00:00+0100;110000.0;94200.0;110000.0;;;1.9851318359375227;1.5711567849210597e-14;1.3938951;157.53592;0.981238
2020-01-05T22:00:00+0100;110000.0;99600.0;110000.0;;;1.4918457031250227;1.5703672929924375e-14;0.7472461;296.4537;0.9905008
2020-01-05T23:00:00+0100;100000.0;99000.0;100000.0;;;1.1670166015625227;1.5695720186522286e-14;0.86261714;71.27512;0.9897227
2020-01-06T00:00:00+0100;290000.0;96600.0;290000.0;;;0.8808837890625227;1.5679988172065705e-14;1.1221502;76.29278;0.98805964
